# x_m, y_m, w_tr_right_m, w_tr_left_m
-21.215395175028824, 12.754833403160006, 10.0, 10.0
-21.772067999594324, 12.866000766867394, 10.0, 10.0
-22.328740824159823, 12.97716813057478, 10.0, 10.0
-22.88541364872532, 13.088335494282166, 10.0, 10.0
-23.44208647329083, 13.199502857989552, 10.0, 10.0
-23.998759297856328, 13.310670221696938, 10.0, 10.0
-24.555432122421827, 13.421837585404337, 10.0, 10.0
-25.112104946987326, 13.533004949111723, 10.0, 10.0
-25.668777771552826, 13.644172312819109, 10.0, 10.0
-26.22545059611832, 13.755339676526496, 10.0, 10.0
-26.78212342068382, 13.866507040233882, 10.0, 10.0
-27.33879624524932, 13.977674403941268, 10.0, 10.0
-27.895469069814823, 14.088841767648654, 10.0, 10.0
-28.452141894380322, 14.20000913135604, 10.0, 10.0
-28.97248091327042, 14.426923480359967, 10.0, 10.0
-29.429048227988304, 14.764249885336932, 10.0, 10.0
-29.79659374078878, 15.196861850478463, 10.0, 10.0
-30.014647654894347, 15.720975680582791, 10.0, 10.0
-30.121539110487806, 16.278485351426713, 10.0, 10.0
-30.159145993708037, 16.844902634618034, 10.0, 10.0
-30.154832490537213, 17.4125505977552, 10.0, 10.0
-30.124811447923367, 17.979420559354658, 10.0, 10.0
-30.078590952631842, 18.54520009431363, 10.0, 10.0
-30.02184228569396, 19.11002077839324, 10.0, 10.0
-29.958033257184468, 19.674087462610675, 10.0, 10.0
-29.889341145162916, 20.23758032867856, 10.0, 10.0
-29.81716884979527, 20.800638031001114, 10.0, 10.0
-29.74244282077026, 21.363362507943016, 10.0, 10.0
-29.66578905098067, 21.925827632142223, 10.0, 10.0
-29.587639480996195, 22.48808687935353, 10.0, 10.0
-29.50829778397994, 23.050179141778443, 10.0, 10.0
-29.427980903597508, 23.612132889954417, 10.0, 10.0
-29.346845798095345, 24.1739690858501, 10.0, 10.0
-29.265006963199028, 24.73570320575577, 10.0, 10.0
-29.182548084000985, 25.297346642114448, 10.0, 10.0
-29.099529866380774, 25.858907673442783, 10.0, 10.0
-29.015995322579165, 26.4203921312466, 10.0, 10.0
-28.93197331221706, 26.98180385016427, 10.0, 10.0
-28.847480844282632, 27.543144957892657, 10.0, 10.0
-28.762524455150466, 28.104416040622738, 10.0, 10.0
-28.852838224976406, 28.66485001473853, 10.0, 10.0
-29.109812283764917, 29.171019106518276, 10.0, 10.0
-29.508948559487152, 29.57466876868334, 10.0, 10.0
-30.01219624935753, 29.837317924409213, 10.0, 10.0
-30.571579311697278, 29.93392747844393, 10.0, 10.0
-31.138269495817116, 29.900685162255055, 10.0, 10.0
-31.694866728548945, 29.789139938786462, 10.0, 10.0
-32.24023524705424, 29.63160900408878, 10.0, 10.0
-32.776884036039995, 29.44653903450025, 10.0, 10.0
-33.30735092520654, 29.244430905367956, 10.0, 10.0
-33.83352964152209, 29.031407960923236, 10.0, 10.0
-34.35672132426701, 28.81115065804789, 10.0, 10.0
-34.87779964692583, 28.58593920625545, 10.0, 10.0
-35.397351072948105, 28.35722730870395, 10.0, 10.0
-35.91577303397275, 28.12596666205013, 10.0, 10.0
-36.433338594371214, 27.892795679608476, 10.0, 10.0
-36.95023824990195, 27.658152200100535, 10.0, 10.0
-37.46660691099256, 27.422342484001145, 10.0, 10.0
-37.98254144011663, 27.185584426015982, 10.0, 10.0
-38.49811216923953, 26.948035189782622, 10.0, 10.0
-39.013370551665545, 26.709809213652562, 10.0, 10.0
-39.52835430115792, 26.470990131244648, 10.0, 10.0
-40.04309087192587, 26.231638759664207, 10.0, 10.0
-40.557599821706475, 25.991798485817146, 10.0, 10.0
-41.071894404267546, 25.751498883837208, 10.0, 10.0
-41.58598261247514, 25.510758088488178, 10.0, 10.0
-42.099867811125506, 25.26958425290175, 10.0, 10.0
-42.596947979247396, 24.995441730072304, 10.0, 10.0
-43.07694651666566, 24.692383616107833, 10.0, 10.0
-43.53965055973272, 24.36352531091731, 10.0, 10.0
-43.984781602054476, 24.011245349061785, 10.0, 10.0
-44.41190942456163, 23.637340762831975, 10.0, 10.0
-44.820386741949804, 23.243146524489074, 10.0, 10.0
-45.10566781213783, 22.752374146134557, 10.0, 10.0
-45.29789513114239, 22.218247312702914, 10.0, 10.0
-45.42791578074798, 21.665673836104983, 10.0, 10.0
-45.517541368021995, 21.1051293949862, 10.0, 10.0
-45.58072184428288, 20.540991961568746, 10.0, 10.0
-45.6262061717189, 19.975152768580955, 10.0, 10.0
-45.65952765047751, 19.408467233723464, 10.0, 10.0
-45.68425008967678, 18.841341482797425, 10.0, 10.0
-45.7027180874118, 18.273977622983427, 10.0, 10.0
-45.716507731461036, 17.706480784154888, 10.0, 10.0
-45.72670055607859, 17.138907949454616, 10.0, 10.0
-45.734052911812064, 16.571291213242098, 10.0, 10.0
-45.73910262962292, 16.003649321981943, 10.0, 10.0
-45.742237439403716, 15.435993625867633, 10.0, 10.0
-45.743739619349554, 14.868331261588658, 10.0, 10.0
-45.743815580514685, 14.300666914819118, 10.0, 10.0
-45.74261570546465, 13.733003831059712, 10.0, 10.0
-45.74024774028429, 13.165344418115394, 10.0, 10.0
-45.73678581134584, 12.597690622733552, 10.0, 10.0
-45.73227637555337, 12.030044182286492, 10.0, 10.0
-45.72674192631545, 11.462406810159695, 10.0, 10.0
-45.8946339672507, 10.920138353623651, 10.0, 10.0
-46.21994686988713, 10.454934815651683, 10.0, 10.0
-46.671667624747165, 10.111145380107093, 10.0, 10.0
-47.19659682502673, 9.895061713308241, 10.0, 10.0
-47.754280021284714, 9.789079313944644, 10.0, 10.0
-48.2880792442831, 9.595944112881483, 10.0, 10.0
-48.79890228184768, 9.348350412120187, 10.0, 10.0
-49.291506819184534, 9.06624478268588, 10.0, 10.0
-49.77049673369113, 8.761595019573639, 10.0, 10.0
-50.23944572499794, 8.441704944835914, 10.0, 10.0
-50.700942804381874, 8.111155005971176, 10.0, 10.0
-51.1568237253982, 7.772901547427586, 10.0, 10.0
-51.608387091734315, 7.428905410026932, 10.0, 10.0
-52.0565570425626, 7.0804997390943925, 10.0, 10.0
-52.50199736855046, 6.728610932299955, 10.0, 10.0
-52.94518955079616, 6.373894840249313, 10.0, 10.0
-53.38648576157468, 6.016822759688671, 10.0, 10.0
-53.82614490403, 5.657736899734767, 10.0, 10.0
-54.26435721799918, 5.296886814174076, 10.0, 10.0
-54.7012611326885, 4.934453667659392, 10.0, 10.0
-55.13695478962997, 4.570566523527657, 10.0, 10.0
-55.571503821389754, 4.20531324789551, 10.0, 10.0
-56.00494641324466, 3.8387476522247144, 10.0, 10.0
-56.43729629698288, 3.470893884546672, 10.0, 10.0
-56.73682063642454, 2.9886823267782745, 10.0, 10.0
-56.87496491958256, 2.4380835859568495, 10.0, 10.0
-56.83855945681928, 1.8715878148831564, 10.0, 10.0
-56.636690633083404, 1.3410298120532333, 10.0, 10.0
-56.315315481779024, 0.8730973078526063, 10.0, 10.0
-55.915739018845244, 0.4698833861773949, 10.0, 10.0
-55.466759214023455, 0.12252197320009942, 10.0, 10.0
-54.98640335901587, -0.17996946291555674, 10.0, 10.0
-54.4855974095245, -0.4472450085934725, 10.0, 10.0
-53.97099521003237, -0.6868851401266682, 10.0, 10.0
-53.446736432276, -0.9045903314032615, 10.0, 10.0
-52.915468404164415, -1.104583077946262, 10.0, 10.0
-52.378933100179374, -1.2899817940719573, 10.0, 10.0
-51.838308196874294, -1.4630931174732895, 10.0, 10.0
-51.29440947440376, -1.6256261789047983, 10.0, 10.0
-50.747813945766104, -1.778845448047781, 10.0, 10.0
-50.1989366879366, -1.9236783593661244, 10.0, 10.0
-49.64807997910946, -2.0607903672411396, 10.0, 10.0
-49.09546547024619, -2.1906365106462657, 10.0, 10.0
-48.54125573494713, -2.3134957213841516, 10.0, 10.0
-47.98556905944142, -2.429491993000056, 10.0, 10.0
-47.491755648470814, -2.7094761559610276, 10.0, 10.0
-47.10689214692236, -3.126756519193293, 10.0, 10.0
-46.82259574102163, -3.618099953010523, 10.0, 10.0
-46.61209569075967, -4.145293034531039, 10.0, 10.0
-46.45194835719114, -4.689898991085204, 10.0, 10.0
-46.32573755227059, -5.243355086078015, 10.0, 10.0
-46.222680538795004, -5.801586282211725, 10.0, 10.0
-46.13577052011644, -6.362558175461891, 10.0, 10.0
-46.060413129331124, -6.925198451319756, 10.0, 10.0
-45.99354611112736, -7.488910805486234, 10.0, 10.0
-45.93308992983169, -8.053346688919005, 10.0, 10.0
-45.87760576926931, -8.618292991048747, 10.0, 10.0
-45.82608058869388, -9.1836141140665, 10.0, 10.0
-45.77779009024587, -9.749220730119589, 10.0, 10.0
-45.73220997628461, -10.315052215258635, 10.0, 10.0
-45.6889575939612, -10.881066391571153, 10.0, 10.0
-45.64775303998749, -11.44723332905091, 10.0, 10.0
-45.608392973115315, -12.013531485059918, 10.0, 10.0
-45.57073291044631, -12.579945234931115, 10.0, 10.0
-45.53467534044713, -13.14646325583525, 10.0, 10.0
-45.500161963931376, -13.713077448390345, 10.0, 10.0
-45.46716900632529, -14.279782204953927, 10.0, 10.0
-45.28444798599939, -14.817235314624384, 10.0, 10.0
-44.946481911630904, -15.273329327892851, 10.0, 10.0
-44.48549005574961, -15.60458349794132, 10.0, 10.0
-43.94542009051874, -15.779418417276425, 10.0, 10.0
-43.37775843044731, -15.78116657297012, 10.0, 10.0
-42.83662188523202, -15.609661308339998, 10.0, 10.0
-42.37359854950246, -15.281252710807514, 10.0, 10.0
-42.0328297622063, -14.827248911299087, 10.0, 10.0
-41.7816458205249, -14.318181682138954, 10.0, 10.0
-41.46802036082247, -13.845020095162766, 10.0, 10.0
-41.1149253645164, -13.40053529233257, 10.0, 10.0
-40.73615709551586, -12.977714509066528, 10.0, 10.0
-40.34008299514515, -12.571059712735632, 10.0, 10.0
-39.931912460132885, -12.176547823546997, 10.0, 10.0
-39.51498763018025, -11.791299199237518, 10.0, 10.0
-39.0915159904184, -11.413258742830005, 10.0, 10.0
-38.66299459416976, -11.04095210936709, 10.0, 10.0
-38.23046236531229, -10.673312765222613, 10.0, 10.0
-37.794654330150614, -10.30956261353619, 10.0, 10.0
-37.35609836058304, -9.949130264932421, 10.0, 10.0
-36.915177265293146, -9.59159508611536, 10.0, 10.0
-36.47216941447811, -9.23664880781451, 10.0, 10.0
-36.02727570100591, -8.884069171311916, 10.0, 10.0
-35.58063755721789, -8.533701956982481, 10.0, 10.0
-35.132348930691116, -8.185448997640965, 10.0, 10.0
-34.682464021551816, -7.8392606314411415, 10.0, 10.0
